Start Season Year,Shoujo,Cars,Josei,Girls Love,Vampire,Adventure,Samurai,Kids,Psychological,Sci-Fi,Historical,Comedy,Slice of Life,Fantasy,Mystery,Harem,Avant Garde,Action,School,Demons,Military,Space,Martial Arts,Game,Parody,Sports,Drama,Gourmet,Supernatural,Romance,Boys Love,Ecchi,Seinen,Super Power,Police,Shounen,Horror,Mecha,Music,Suspense
1999.0,1,0,0,0,1,127,0,54,14,38,1,167,35,108,20,0,0,117,3,6,8,6,0,0,2,0,105,0,6,5,0,0,6,93,0,103,8,22,7,1
2000.0,22,10,0,0,11,144,6,77,9,76,36,172,12,97,18,2,15,106,14,32,8,12,4,26,11,10,61,1,50,41,2,6,6,4,5,88,27,37,14,0
2001.0,25,3,0,1,2,110,1,47,4,88,15,161,36,85,14,7,2,102,34,4,10,15,8,6,9,41,75,0,28,50,0,8,10,14,5,95,6,41,9,0
2002.0,32,4,0,0,0,149,4,42,11,127,14,234,51,101,27,6,3,157,40,8,22,19,25,21,8,23,91,2,40,79,2,16,20,31,15,111,6,54,17,0
2003.0,20,8,3,1,1,148,5,43,8,126,19,168,26,77,20,10,0,110,18,19,14,8,6,12,2,26,83,0,37,61,0,14,13,17,10,110,4,49,13,0
2004.0,34,8,4,7,2,155,10,28,29,127,33,223,23,87,34,8,3,155,31,17,30,20,9,23,40,23,119,6,71,55,1,22,34,45,12,169,9,84,9,13
2005.0,32,4,5,0,7,102,4,85,9,124,27,202,30,98,24,9,2,87,24,3,27,9,5,16,15,23,96,2,50,69,5,14,25,24,5,139,8,36,8,3
2006.0,33,0,1,4,10,112,17,63,16,82,34,212,23,109,31,5,2,158,33,26,29,8,13,15,19,6,81,2,60,72,0,8,32,33,9,108,22,24,14,6
2007.0,23,5,2,0,1,112,4,14,14,58,32,166,24,81,35,8,3,130,41,6,13,10,48,8,13,19,74,3,31,50,1,10,27,54,9,86,12,37,14,8
2008.0,31,0,3,5,10,81,2,38,14,62,19,167,35,79,25,13,1,134,54,9,17,8,7,21,26,17,50,1,54,61,5,24,20,27,6,79,7,20,17,11
2009.0,21,2,2,6,5,87,4,45,10,49,18,206,60,86,31,11,1,111,49,6,26,12,15,6,17,22,70,18,40,62,0,14,28,31,2,77,5,17,18,13
2010.0,21,5,6,0,3,67,10,59,5,46,37,194,38,50,19,5,0,107,42,11,27,14,9,17,11,30,43,3,42,35,2,11,35,28,3,61,5,28,24,5
2011.0,32,2,8,3,4,68,10,20,13,43,27,155,45,81,26,7,4,125,53,25,10,2,11,16,14,15,57,14,60,38,4,12,23,40,5,97,5,13,41,10
2012.0,23,6,8,2,3,44,5,34,14,53,33,159,74,62,28,8,1,107,75,9,16,12,9,17,16,26,53,1,57,57,3,17,43,20,6,72,12,12,53,6
2013.0,21,1,10,0,5,51,5,22,12,27,18,157,59,85,18,13,3,106,69,20,12,10,5,23,22,29,57,1,44,42,0,11,24,20,3,67,3,19,39,4
2014.0,37,1,2,1,0,71,4,43,13,49,18,174,66,93,23,17,5,116,80,11,10,13,12,22,6,18,51,18,55,64,4,20,37,14,4,83,6,24,43,5
2015.0,27,4,1,5,6,56,8,28,8,47,18,158,64,91,23,7,5,118,70,10,19,14,13,19,28,22,50,5,47,36,2,14,28,23,3,81,6,25,43,4
2016.0,29,3,3,0,3,47,9,33,9,33,22,151,90,72,29,3,2,106,77,9,12,11,4,18,28,25,54,2,55,38,3,6,31,11,4,61,12,17,65,2
2017.0,14,0,2,0,6,41,7,16,4,31,26,128,56,109,23,2,1,99,50,19,15,4,5,27,17,28,53,4,45,31,2,8,16,16,4,60,7,8,79,3
2018.0,24,0,5,2,5,60,5,22,8,29,31,142,88,79,22,2,5,124,41,25,10,5,19,22,13,20,62,7,54,50,1,5,29,21,5,49,6,17,64,6
2019.0,21,0,3,0,0,58,4,24,11,53,26,133,60,91,18,6,9,126,52,27,14,10,17,21,10,17,57,2,51,46,2,3,15,14,6,47,5,17,90,5
2020.0,13,1,1,1,2,80,0,31,12,31,41,120,51,101,19,3,5,122,38,25,16,0,26,14,8,14,50,0,41,41,1,4,26,13,5,29,5,7,73,5
2021.0,13,2,1,1,6,64,4,9,8,38,38,110,59,103,24,5,2,103,38,24,16,8,25,7,4,11,61,8,57,41,1,4,15,13,2,52,5,10,67,8
