id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,all_ranking
5114,Fullmetal Alchemist: Brotherhood,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1223/96541.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1223/96541l.jpg'}",2009-04-05,2010-07-04,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.15,1,3,2812347,1709648,white,2008-08-21T03:35:22+00:00,2022-03-22T12:43:18+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,"{'year': 2009, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1460,r,,"[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '215170', 'completed': '2041622', 'on_hold': '95991', 'dropped': '43592', 'plan_to_watch': '419605'}, 'num_list_users': 2815980}",1
28977,Gintama°,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/3/72078.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/3/72078l.jpg'}",2015-04-08,2016-03-30,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]",9.09,2,335,517641,183234,white,2014-12-21T07:58:01+00:00,2022-03-22T13:11:43+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",51,"{'year': 2015, 'season': 'spring'}","{'day_of_the_week': 'wednesday', 'start_time': '18:00'}",manga,1440,pg_13, This is a fourth season of Gintama. In the episode continuity corresponds to episodes 266-316 of Gintama. ,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]","{'status': {'watching': '57694', 'completed': '214235', 'on_hold': '20482', 'dropped': '14347', 'plan_to_watch': '210869'}, 'num_list_users': 517627}",2
9253,Steins;Gate,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/73199.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/73199l.jpg'}",2011-04-06,2011-09-14,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

[Written by MAL Rewrite]",9.09,3,13,2184663,1164864,white,2010-07-26T09:23:40+00:00,2022-03-22T12:48:25+00:00,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",24,"{'year': 2011, 'season': 'spring'}","{'day_of_the_week': 'wednesday', 'start_time': '02:05'}",visual_novel,1460,pg_13,Steins;Gate is based on 5pb. and Nitroplus' visual novel of the same title released in 2009. ,"[{'id': 314, 'name': 'White Fox'}]","{'status': {'watching': '141481', 'completed': '1375560', 'on_hold': '76678', 'dropped': '45306', 'plan_to_watch': '548250'}, 'num_list_users': 2187275}",3
38524,Shingeki no Kyojin Season 3 Part 2,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1517/100633.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1517/100633l.jpg'}",2019-04-29,2019-07-01,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",9.08,4,31,1749834,1215338,white,2018-10-14T18:13:45+00:00,2022-03-22T12:52:54+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",10,"{'year': 2019, 'season': 'spring'}","{'day_of_the_week': 'monday', 'start_time': '00:10'}",manga,1435,r,Shingeki no Kyojin adapts content from volumes 18-22 of Hajime Isayama's award-winning manga of the same name.,"[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '67498', 'completed': '1560252', 'on_hold': '7410', 'dropped': '4742', 'plan_to_watch': '119163'}, 'num_list_users': 1759065}",4
48583,Shingeki no Kyojin: The Final Season Part 2,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1948/120625.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1948/120625l.jpg'}",2022-01-10,2022-04-04,"Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny.

Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos.

Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul.

[Written by MAL Rewrite]
",9.08,5,190,736361,203448,white,2021-03-28T16:06:18+00:00,2022-03-22T13:18:40+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",12,"{'year': 2022, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '00:05'}",manga,1435,r,,"[{'id': 569, 'name': 'MAPPA'}]","{'status': {'watching': '475842', 'completed': '174', 'on_hold': '5158', 'dropped': '2404', 'plan_to_watch': '252980'}, 'num_list_users': 736558}",5
9969,Gintama',"{'medium': 'https://api-cdn.myanimelist.net/images/anime/4/50361.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/4/50361l.jpg'}",2011-04-04,2012-03-26,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]
",9.06,6,382,454855,189123,white,2010-12-06T15:47:56+00:00,2022-03-22T12:01:48+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",51,"{'year': 2011, 'season': 'spring'}","{'day_of_the_week': 'monday', 'start_time': '18:00'}",manga,1460,pg_13,This is the second season of Gintama. In the episode continuity corresponds to episodes 202-252 of Gintama.,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '32459', 'completed': '233647', 'on_hold': '13023', 'dropped': '8587', 'plan_to_watch': '167839'}, 'num_list_users': 455555}",6
39486,Gintama: The Final,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1988/113791.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1988/113791l.jpg'}",2021-01-08,2021-01-08,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]
",9.05,7,1780,92989,40122,white,2019-03-07T20:54:42+00:00,2022-03-22T12:40:43+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2021, 'season': 'winter'}",,manga,6240,pg_13,"As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series, adapting chapters 699-704 of the original manga with new story elements.","[{'id': 1258, 'name': 'Bandai Namco Pictures'}]","{'status': {'watching': '4654', 'completed': '46274', 'on_hold': '1056', 'dropped': '807', 'plan_to_watch': '41284'}, 'num_list_users': 94075}",7
11061,Hunter x Hunter (2011),"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1337/99013.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1337/99013l.jpg'}",2011-10-02,2014-09-24,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]

",9.05,8,10,2291393,1349214,white,2011-07-27T08:41:39+00:00,2022-03-22T13:05:29+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",148,"{'year': 2011, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '10:55'}",manga,1417,pg_13,,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '300422', 'completed': '1520213', 'on_hold': '113673', 'dropped': '46309', 'plan_to_watch': '313993'}, 'num_list_users': 2294610}",8
42938,Fruits Basket: The Final,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1085/114792.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1085/114792l.jpg'}",2021-04-06,2021-06-29,"Hundreds of years ago, the Chinese Zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.

Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.

[Written by MAL Rewrite]",9.04,9,565,322734,145081,white,2020-09-21T17:09:51+00:00,2022-03-22T12:37:48+00:00,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 25, 'name': 'Shoujo'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",13,"{'year': 2021, 'season': 'spring'}","{'day_of_the_week': 'tuesday', 'start_time': '01:30'}",manga,1380,pg_13,,"[{'id': 73, 'name': 'TMS Entertainment'}]","{'status': {'watching': '31853', 'completed': '168841', 'on_hold': '4323', 'dropped': '2720', 'plan_to_watch': '116456'}, 'num_list_users': 324193}",9
15417,Gintama': Enchousen,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/75172.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/75172l.jpg'}",2012-10-04,2013-03-28,"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?

In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.

Gintama': Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.

[Written by MAL Rewrite]",9.04,10,692,273954,137714,white,2012-09-03T13:17:14+00:00,2022-03-22T11:28:57+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",13,"{'year': 2012, 'season': 'fall'}","{'day_of_the_week': 'thursday', 'start_time': '18:00'}",manga,1460,pg_13,This is a third season of Gintama. In the episode continuity corresponds to episodes 253-265 of Gintama.,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '9236', 'completed': '176357', 'on_hold': '3293', 'dropped': '2350', 'plan_to_watch': '82899'}, 'num_list_users': 274135}",10
