id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,bypopularity_ranking
16498,Shingeki no Kyojin,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/10/47347.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/10/47347l.jpg'}",2013-04-07,2013-09-29,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",8.52,103.0,1,3329181,2329206,white,2012-12-05T12:03:21+00:00,2022-03-22T13:25:25+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",25,"{'year': 2013, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '01:58'}",manga,1440,r,"Shingeki no Kyojin adapts content from the first 8 volumes of Hajime Isayama's award-winning manga of the same name.

The last episode received a pre-airing in Tokyo, Marunouchi Piccadilly 1 theater on Saturday, September 28, 2013. TV broadcast took place after midnight, a few hours later.","[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '175657', 'completed': '2907311', 'on_hold': '44804', 'dropped': '51886', 'plan_to_watch': '152159'}, 'num_list_users': 3331817}",1
1535,Death Note,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/9/9453.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/9/9453l.jpg'}",2006-10-04,2007-06-27,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his ""Death Note"" into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias ""Kira""—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]
",8.63,68.0,2,3316225,2289738,white,2006-10-04T03:39:19+00:00,2022-03-22T13:33:06+00:00,tv,finished_airing,"[{'id': 7, 'name': 'Mystery'}, {'id': 39, 'name': 'Police'}, {'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",37,"{'year': 2006, 'season': 'fall'}","{'day_of_the_week': 'wednesday', 'start_time': '00:56'}",manga,1380,r,"Death Note has been adapted into live action films, TV dramas, video games, light novels and a musical composed by a Broadway composer.  It is licensed in North America by Viz Media.","[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '162969', 'completed': '2757486', 'on_hold': '95275', 'dropped': '101703', 'plan_to_watch': '206214'}, 'num_list_users': 3323647}",2
5114,Fullmetal Alchemist: Brotherhood,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1223/96541.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1223/96541l.jpg'}",2009-04-05,2010-07-04,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.15,1.0,3,2812347,1709648,white,2008-08-21T03:35:22+00:00,2022-03-22T12:43:18+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,"{'year': 2009, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1460,r,,"[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '215170', 'completed': '2041622', 'on_hold': '95991', 'dropped': '43592', 'plan_to_watch': '419605'}, 'num_list_users': 2815980}",3
30276,One Punch Man,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/12/76049.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/12/76049l.jpg'}",2015-10-05,2015-12-21,"The seemingly unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, Saitama relentlessly trained for three years, losing all of his hair in the process. Now, Saitama is so powerful, he can defeat any enemy with just one punch. However, having no one capable of matching his strength has led Saitama to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

One day, Saitama catches the attention of 19-year-old cyborg Genos, who witnesses his power and wishes to become Saitama’s disciple. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society. Saitama, who is shocked that no one knows who he is, quickly agrees. Meeting new allies and taking on new foes, Saitama embarks on a new journey as a member of the Hero Association to experience the excitement of battle he once felt.

[Written by MAL Rewrite]",8.51,111.0,4,2714220,1868479,white,2015-03-07T09:52:13+00:00,2022-03-22T13:39:38+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 20, 'name': 'Parody'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",12,"{'year': 2015, 'season': 'fall'}","{'day_of_the_week': 'monday', 'start_time': '01:05'}",web_manga,1460,r,"Episodes 1 and 2 were previewed at a screening in Saitama city cultural center (small hall) on September 6, 2015. Regular broadcasting began on October 5, 2015. 

One Punch Man is based on Yusuke Murata's manga remake of ONE's original web comic. The anime adapts the first 7 volumes of the manga.","[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '118029', 'completed': '2370860', 'on_hold': '38532', 'dropped': '34308', 'plan_to_watch': '163307'}, 'num_list_users': 2725036}",4
11757,Sword Art Online,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/11/39717.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/11/39717l.jpg'}",2012-07-08,2012-12-23,"In the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called Sword Art Online (SAO) is launched. With the aid of ""NerveGear"" technology, players can control their avatars within the game using nothing but their own thoughts.

Kazuto Kirigaya, nicknamed ""Kirito,"" is among the lucky few enthusiasts who get their hands on the first shipment of the game. He logs in to find himself, with ten-thousand others, in the scenic and elaborate world of Aincrad, one full of fantastic medieval weapons and gruesome monsters. However, in a cruel turn of events, the players soon realize they cannot log out; the game's creator has trapped them in his new world until they complete all one hundred levels of the game.

In order to escape Aincrad, Kirito will now have to interact and cooperate with his fellow players. Some are allies, while others are foes, like Asuna Yuuki, who commands the leading group attempting to escape from the ruthless game. To make matters worse, Sword Art Online is not all fun and games: if they die in Aincrad, they die in real life. Kirito must adapt to his new reality, fight for his survival, and hopefully break free from his virtual hell.

[Written by MAL Rewrite]",7.2,2940.0,5,2694701,1862210,white,2011-10-09T11:25:17+00:00,2022-03-22T13:33:01+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 11, 'name': 'Game'}, {'id': 22, 'name': 'Romance'}]",25,"{'year': 2012, 'season': 'summer'}","{'day_of_the_week': 'sunday', 'start_time': '00:00'}",light_novel,1420,pg_13,,"[{'id': 56, 'name': 'A-1 Pictures'}]","{'status': {'watching': '96588', 'completed': '2311407', 'on_hold': '31912', 'dropped': '112092', 'plan_to_watch': '144667'}, 'num_list_users': 2696666}",5
31964,Boku no Hero Academia,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/10/78745.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/10/78745l.jpg'}",2016-04-03,2016-06-26,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]",7.96,607.0,6,2553776,1731739,white,2015-10-27T08:31:53+00:00,2022-03-22T12:01:39+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",13,"{'year': 2016, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1470,pg_13,"Mangaka Horikoushi Kouhei has noted that American superhero comics are the inspiration for the series, and has based character pages on logos for Marvel and DC comic characters.","[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '114836', 'completed': '2238761', 'on_hold': '24950', 'dropped': '29597', 'plan_to_watch': '155566'}, 'num_list_users': 2563710}",6
22319,Tokyo Ghoul,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/64449.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/64449l.jpg'}",2014-07-04,2014-09-19,"A sinister threat is invading Tokyo: flesh-eating ""ghouls"" who appear identical to humans and blend into their population. Reserved college student Ken Kaneki buries his nose in books and avoids the news of the growing crisis. However, the appearance of an attractive woman named Rize Kamishiro shatters his solitude when she forwardly asks him on a date.

While walking Rize home, Kaneki discovers she isn't as kind as she first appeared, and she has led him on with sinister intent. After a tragic struggle, he later awakens in a hospital to learn his life was saved by transplanting the now deceased Rize's organs into his own body. 

Kaneki's body begins to change in horrifying ways, and he transforms into a human-ghoul hybrid. As he embarks on his new dreadful journey, Kaneki clings to his humanity in the evolving bloody conflict between society's new monsters and the government agents who hunt them.

[Written by MAL Rewrite]",7.8,880.0,7,2430464,1594173,white,2014-01-29T09:14:28+00:00,2022-03-22T13:34:48+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 14, 'name': 'Horror'}, {'id': 7, 'name': 'Mystery'}, {'id': 40, 'name': 'Psychological'}, {'id': 42, 'name': 'Seinen'}, {'id': 37, 'name': 'Supernatural'}]",12,"{'year': 2014, 'season': 'summer'}","{'day_of_the_week': 'friday', 'start_time': '00:00'}",manga,1440,r,,"[{'id': 1, 'name': 'Studio Pierrot'}]","{'status': {'watching': '92644', 'completed': '2049553', 'on_hold': '31483', 'dropped': '49859', 'plan_to_watch': '207719'}, 'num_list_users': 2431258}",7
20,Naruto,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/13/17405.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/13/17405l.jpg'}",2002-10-03,2007-02-08,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto.

Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.

[Written by MAL Rewrite]",7.97,594.0,8,2415269,1598897,white,2005-11-11T01:19:57+00:00,2022-03-22T13:43:07+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",220,"{'year': 2002, 'season': 'fall'}","{'day_of_the_week': 'thursday', 'start_time': '19:30'}",manga,1404,pg_13,"Naruto received numerous awards during its airing, including the ""Best Full-Length Animation Program Award"" in the Third UStv Awards and the 38th ""Best Animated Show"" in IGN's Top 100 Animated Series.","[{'id': 1, 'name': 'Studio Pierrot'}]","{'status': {'watching': '183845', 'completed': '1946524', 'on_hold': '80204', 'dropped': '117400', 'plan_to_watch': '92476'}, 'num_list_users': 2420449}",8
38000,Kimetsu no Yaiba,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1286/99889.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1286/99889l.jpg'}",2019-04-06,2019-09-28,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.

When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.

[Written by MAL Rewrite]",8.56,87.0,9,2315781,1562275,white,2018-07-21T05:29:59+00:00,2022-03-22T13:42:22+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 6, 'name': 'Demons'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",26,"{'year': 2019, 'season': 'spring'}","{'day_of_the_week': 'saturday', 'start_time': '23:30'}",manga,1420,r,The anime covers chapters 1 to 53 of the manga.,"[{'id': 43, 'name': 'ufotable'}]","{'status': {'watching': '192048', 'completed': '1905271', 'on_hold': '33899', 'dropped': '29049', 'plan_to_watch': '168507'}, 'num_list_users': 2328774}",9
11061,Hunter x Hunter (2011),"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1337/99013.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1337/99013l.jpg'}",2011-10-02,2014-09-24,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]

",9.05,8.0,10,2291393,1349214,white,2011-07-27T08:41:39+00:00,2022-03-22T13:05:29+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",148,"{'year': 2011, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '10:55'}",manga,1417,pg_13,,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '300422', 'completed': '1520213', 'on_hold': '113673', 'dropped': '46309', 'plan_to_watch': '313993'}, 'num_list_users': 2294610}",10
