id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,favorite_ranking
5114,Fullmetal Alchemist: Brotherhood,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1223/96541.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1223/96541l.jpg'}",2009-04-05,2010-07-04,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.15,1.0,3,2812347,1709648,white,2008-08-21T03:35:22+00:00,2022-03-22T12:43:18+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,"{'year': 2009, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '17:00'}",manga,1460,r,,"[{'id': 4, 'name': 'Bones'}]","{'status': {'watching': '215170', 'completed': '2041622', 'on_hold': '95991', 'dropped': '43592', 'plan_to_watch': '419605'}, 'num_list_users': 2815980}",1
11061,Hunter x Hunter (2011),"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1337/99013.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1337/99013l.jpg'}",2011-10-02,2014-09-24,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]

",9.05,8.0,10,2291393,1349214,white,2011-07-27T08:41:39+00:00,2022-03-22T14:00:26+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",148,"{'year': 2011, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '10:55'}",manga,1417,pg_13,,"[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '300422', 'completed': '1520213', 'on_hold': '113673', 'dropped': '46309', 'plan_to_watch': '313993'}, 'num_list_users': 2294610}",2
9253,Steins;Gate,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/73199.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/73199l.jpg'}",2011-04-06,2011-09-14,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

[Written by MAL Rewrite]",9.09,3.0,13,2184663,1164864,white,2010-07-26T09:23:40+00:00,2022-03-22T13:39:01+00:00,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",24,"{'year': 2011, 'season': 'spring'}","{'day_of_the_week': 'wednesday', 'start_time': '02:05'}",visual_novel,1460,pg_13,Steins;Gate is based on 5pb. and Nitroplus' visual novel of the same title released in 2009. ,"[{'id': 314, 'name': 'White Fox'}]","{'status': {'watching': '141481', 'completed': '1375560', 'on_hold': '76678', 'dropped': '45306', 'plan_to_watch': '548250'}, 'num_list_users': 2187275}",3
21,One Piece,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/73245.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/73245l.jpg'}",1999-10-20,,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ",8.63,66.0,26,1811880,1019858,white,2005-11-11T01:20:50+00:00,2022-03-22T13:39:29+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",0,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '09:30'}",manga,1440,pg_13,"Several anime-original arcs have been adapted into light novels, and the series has inspired 40+ video games as of 2021.","[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '1226977', 'completed': '11', 'on_hold': '234585', 'dropped': '161231', 'plan_to_watch': '189088'}, 'num_list_users': 1811892}",4
1535,Death Note,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/9/9453.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/9/9453l.jpg'}",2006-10-04,2007-06-27,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his ""Death Note"" into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias ""Kira""—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]
",8.63,68.0,2,3316225,2289738,white,2006-10-04T03:39:19+00:00,2022-03-22T13:33:06+00:00,tv,finished_airing,"[{'id': 7, 'name': 'Mystery'}, {'id': 39, 'name': 'Police'}, {'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",37,"{'year': 2006, 'season': 'fall'}","{'day_of_the_week': 'wednesday', 'start_time': '00:56'}",manga,1380,r,"Death Note has been adapted into live action films, TV dramas, video games, light novels and a musical composed by a Broadway composer.  It is licensed in North America by Viz Media.","[{'id': 11, 'name': 'Madhouse'}]","{'status': {'watching': '162969', 'completed': '2757486', 'on_hold': '95275', 'dropped': '101703', 'plan_to_watch': '206214'}, 'num_list_users': 3323647}",5
16498,Shingeki no Kyojin,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/10/47347.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/10/47347l.jpg'}",2013-04-07,2013-09-29,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",8.52,103.0,1,3329181,2329206,white,2012-12-05T12:03:21+00:00,2022-03-22T13:25:25+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",25,"{'year': 2013, 'season': 'spring'}","{'day_of_the_week': 'sunday', 'start_time': '01:58'}",manga,1440,r,"Shingeki no Kyojin adapts content from the first 8 volumes of Hajime Isayama's award-winning manga of the same name.

The last episode received a pre-airing in Tokyo, Marunouchi Piccadilly 1 theater on Saturday, September 28, 2013. TV broadcast took place after midnight, a few hours later.","[{'id': 858, 'name': 'Wit Studio'}]","{'status': {'watching': '175657', 'completed': '2907311', 'on_hold': '44804', 'dropped': '51886', 'plan_to_watch': '152159'}, 'num_list_users': 3331817}",6
1575,Code Geass: Hangyaku no Lelouch,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/50331.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/50331l.jpg'}",2006-10-06,2007-07-29,"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.

Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.

[Written by MAL Rewrite]",8.7,47.0,17,1941006,1194903,white,2006-10-15T12:17:18+00:00,2022-03-22T13:15:46+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",25,"{'year': 2006, 'season': 'fall'}","{'day_of_the_week': 'friday', 'start_time': '01:25'}",original,1440,r,"Code Geass: Hangyaku no Lelouch is an original anime series by Sunrise animation studio with original character designs by the all-female Japanese manga artist group Clamp. Manga and light novels based off the show have been published by Kadokawa Shoten. The show has sold millions of DVDs and Blu-ray volumes and is extremely popular in both Japan and North America. The show is known for its multi-genre appeal and for its diverse cast of characters who face many moral dilemmas over the course of the series.

The last two episodes received a pre-airing on an event, July 21, 2007. Regular broadcasting was on July 29, 2007.

The series won: ""The Best Anime TV Series"" award at the 2007 Tokyo International Anime Fair, ""The Best TV animation"" award at the twelfth Animation Kobe, and ""The Most Popular Anime"" award at the Animage 's 29th Annual Anime Grand Prix.

The series was rebroadcasted during October 2021 on the Animeism programming block to celebrate its 15th anniversary.","[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '90683', 'completed': '1463976', 'on_hold': '52168', 'dropped': '38198', 'plan_to_watch': '299222'}, 'num_list_users': 1944247}",7
1735,Naruto: Shippuuden,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/17407.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/17407l.jpg'}",2007-02-15,2017-03-23,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.
 
Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.

[Written by MAL Rewrite]",8.23,288.0,16,2050047,1207029,white,2006-12-09T15:28:11+00:00,2022-03-22T13:01:35+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",500,"{'year': 2007, 'season': 'winter'}","{'day_of_the_week': 'thursday', 'start_time': '19:30'}",manga,1389,pg_13,,"[{'id': 1, 'name': 'Studio Pierrot'}]","{'status': {'watching': '407802', 'completed': '1269778', 'on_hold': '126037', 'dropped': '139965', 'plan_to_watch': '110767'}, 'num_list_users': 2054349}",8
30,Neon Genesis Evangelion,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1314/108941.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1314/108941l.jpg'}",1995-10-04,1996-03-27,"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.

Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.

A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.

[Written by MAL Rewrite]",8.34,196.0,50,1503928,873766,white,2005-11-11T01:35:10+00:00,2022-03-22T13:48:22+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 5, 'name': 'Avant Garde'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}]",26,"{'year': 1995, 'season': 'fall'}","{'day_of_the_week': 'wednesday', 'start_time': '18:30'}",original,1441,pg_13,"Director Hideaki Anno's depression is what led to the dark themes of Neon Genesis Evangelion. Budgetary problems and parental complaints about content led to the original ending being scrapped and replaced with an extremely limited-animation ending breaking from the main plot. A movie, End of Evangelion, was later made based in part on the original planned ending and in part on Anno's increasing frustration with the otaku fanbase. The series' mix of psychoanalysis, religious symbolism, and genre deconstruction proved extremely influential on mature anime in the late '90s onward. The Japan Media Arts Festival in 2006 ranked it as the most popular anime of all time. ","[{'id': 6, 'name': 'Gainax'}, {'id': 103, 'name': 'Tatsunoko Production'}]","{'status': {'watching': '95135', 'completed': '1061949', 'on_hold': '45939', 'dropped': '26276', 'plan_to_watch': '278039'}, 'num_list_users': 1507338}",9
32281,Kimi no Na wa.,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/87048.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/87048l.jpg'}",2016-08-26,2016-08-26,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",8.87,23.0,11,2283898,1583131,white,2015-12-10T09:41:12+00:00,2022-03-22T13:44:28+00:00,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2016, 'season': 'summer'}",,original,6391,pg_13,Kimi no Na wa. won the LAFCA Animation Award in 2016 and the Best Animated Film in 2017 by Mainichi Film Awards. It also won the Grand Prize Award on the 20th Japan Media Arts Festival.,"[{'id': 291, 'name': 'CoMix Wave Films'}]","{'status': {'watching': '50433', 'completed': '1969360', 'on_hold': '5986', 'dropped': '3240', 'plan_to_watch': '263766'}, 'num_list_users': 2292785}",10
