id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,favorite_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
5114,Fullmetal Alchemist: Brotherhood,2009-04-05,2010-07-04,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.

As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.

[Written by MAL Rewrite]",9.15,1.0,3,2812347,1709648,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 27, 'name': 'Shounen'}]",64,manga,1460,r,"[{'id': 4, 'name': 'Bones'}]",1,sunday,17:00,2009.0,spring,215170.0,2041622.0,95991.0,43592.0,419605.0,2815980.0,0.9504,0.0496
11061,Hunter x Hunter (2011),2011-10-02,2014-09-24,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]

",9.05,8.0,10,2291393,1349214,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",148,manga,1417,pg_13,"[{'id': 11, 'name': 'Madhouse'}]",2,sunday,10:55,2011.0,fall,300422.0,1520213.0,113673.0,46309.0,313993.0,2294610.0,0.9303,0.0697
9253,Steins;Gate,2011-04-06,2011-09-14,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

[Written by MAL Rewrite]",9.09,3.0,13,2184663,1164864,white,tv,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 41, 'name': 'Suspense'}]",24,visual_novel,1460,pg_13,"[{'id': 314, 'name': 'White Fox'}]",3,wednesday,02:05,2011.0,spring,141481.0,1375560.0,76678.0,45306.0,548250.0,2187275.0,0.9442,0.0558
21,One Piece,1999-10-20,airing,"Gol D. Roger was known as the ""Pirate King,"" the strongest and most infamous being to have sailed the Grand Line. The capture and execution of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece—which promises an unlimited amount of riches and fame—and quite possibly the pinnacle of glory and the title of the Pirate King.

Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy's reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes—One Piece.

[Written by MAL Rewrite] ",8.63,66.0,26,1811880,1019858,white,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",0,manga,1440,pg_13,"[{'id': 18, 'name': 'Toei Animation'}]",4,sunday,09:30,1999.0,fall,1226977.0,11.0,234585.0,161231.0,189088.0,1811892.0,0.7815,0.2185
1535,Death Note,2006-10-04,2007-06-27,"Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his ""Death Note"" into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias ""Kira""—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.

[Written by MAL Rewrite]
",8.63,68.0,2,3316225,2289738,white,tv,finished_airing,"[{'id': 7, 'name': 'Mystery'}, {'id': 39, 'name': 'Police'}, {'id': 40, 'name': 'Psychological'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}]",37,manga,1380,r,"[{'id': 11, 'name': 'Madhouse'}]",5,wednesday,00:56,2006.0,fall,162969.0,2757486.0,95275.0,101703.0,206214.0,3323647.0,0.9407,0.0593
16498,Shingeki no Kyojin,2013-04-07,2013-09-29,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",8.52,103.0,1,3329181,2329206,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 38, 'name': 'Military'}, {'id': 7, 'name': 'Mystery'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",25,manga,1440,r,"[{'id': 858, 'name': 'Wit Studio'}]",6,sunday,01:58,2013.0,spring,175657.0,2907311.0,44804.0,51886.0,152159.0,3331817.0,0.971,0.029
1575,Code Geass: Hangyaku no Lelouch,2006-10-06,2007-07-29,"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen significant resistance against these tyrants in an attempt to regain independence.

Lelouch Lamperouge, a Britannian student, unfortunately finds himself caught in a crossfire between the Britannian and the Area 11 rebel armed forces. He is able to escape, however, thanks to the timely appearance of a mysterious girl named C.C., who bestows upon him Geass, the ""Power of Kings."" Realizing the vast potential of his newfound ""power of absolute obedience,"" Lelouch embarks upon a perilous journey as the masked vigilante known as Zero, leading a merciless onslaught against Britannia in order to get revenge once and for all.

[Written by MAL Rewrite]",8.7,47.0,17,1941006,1194903,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",25,original,1440,r,"[{'id': 14, 'name': 'Sunrise'}]",7,friday,01:25,2006.0,fall,90683.0,1463976.0,52168.0,38198.0,299222.0,1944247.0,0.9535,0.0465
1735,Naruto: Shippuuden,2007-02-15,2017-03-23,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.
 
Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.

[Written by MAL Rewrite]",8.23,288.0,16,2050047,1207029,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 27, 'name': 'Shounen'}, {'id': 31, 'name': 'Super Power'}]",500,manga,1389,pg_13,"[{'id': 1, 'name': 'Studio Pierrot'}]",8,thursday,19:30,2007.0,winter,407802.0,1269778.0,126037.0,139965.0,110767.0,2054349.0,0.8705,0.1295
30,Neon Genesis Evangelion,1995-10-04,1996-03-27,"Fifteen years after a cataclysmic event known as the Second Impact, the world faces a new threat: monstrous celestial beings called ""Angels"" invade Tokyo-3 one by one. Mankind is unable to defend themselves against the Angels despite utilizing their most advanced munitions and military tactics. The only hope for human salvation rests in the hands of NERV, a mysterious organization led by the cold Gendou Ikari. NERV operates giant humanoid robots dubbed ""Evangelions"" to combat the Angels with state-of-the-art advanced weaponry and protective barriers known as Absolute Terror Fields.

Years after being abandoned by his father, Shinji Ikari, Gendou's 14-year-old son, returns to Tokyo-3. Shinji undergoes a perpetual internal battle against the deeply buried trauma caused by the loss of his mother and the emotional neglect he suffered at the hands of his father. Terrified to open himself up to another, Shinji's life is forever changed upon meeting 29-year-old Misato Katsuragi, a high-ranking NERV officer who shows him a free-spirited maternal kindness he has never experienced.

A devastating Angel attack forces Shinji into action as Gendou reveals his true motive for inviting his son back to Tokyo-3: Shinji is the only child capable of efficiently piloting Evangelion Unit-01, a new robot that synchronizes with his biometrics. Despite the brutal psychological trauma brought about by piloting an Evangelion, Shinji defends Tokyo-3 against the angelic threat, oblivious to his father's dark machinations.

[Written by MAL Rewrite]",8.34,196.0,50,1503928,873766,white,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 5, 'name': 'Avant Garde'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 40, 'name': 'Psychological'}, {'id': 24, 'name': 'Sci-Fi'}]",26,original,1441,pg_13,"[{'id': 6, 'name': 'Gainax'}, {'id': 103, 'name': 'Tatsunoko Production'}]",9,wednesday,18:30,1995.0,fall,95135.0,1061949.0,45939.0,26276.0,278039.0,1507338.0,0.9521,0.0479
32281,Kimi no Na wa.,2016-08-26,2016-08-26,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",8.87,23.0,11,2283898,1583131,white,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",1,original,6391,pg_13,"[{'id': 291, 'name': 'CoMix Wave Films'}]",10,NIL,NIL,2016.0,summer,50433.0,1969360.0,5986.0,3240.0,263766.0,2292785.0,0.996,0.004
