id,title,main_picture,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,source,average_episode_duration,rating,background,studios,statistics,movie_ranking
39486,Gintama: The Final,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1988/113791.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1988/113791l.jpg'}",2021-01-08,2021-01-08,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]
",9.05,7,1780,92989,40122,white,2019-03-07T20:54:42+00:00,2022-03-22T12:40:43+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2021, 'season': 'winter'}",manga,6240,pg_13,"As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series, adapting chapters 699-704 of the original manga with new story elements.","[{'id': 1258, 'name': 'Bandai Namco Pictures'}]","{'status': {'watching': '4654', 'completed': '46274', 'on_hold': '1056', 'dropped': '807', 'plan_to_watch': '41284'}, 'num_list_users': 94075}",1
28851,Koe no Katachi,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1122/96435.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1122/96435l.jpg'}",2016-09-17,2016-09-17,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.
 
[Written by MAL Rewrite]",8.96,14,19,1903702,1315469,white,2014-12-15T08:00:46+00:00,2022-03-22T13:37:52+00:00,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2016, 'season': 'summer'}",manga,7803,pg_13,Winner of the Excellence Award on the 20th Japan Media Arts Festival.,"[{'id': 2, 'name': 'Kyoto Animation'}]","{'status': {'watching': '38606', 'completed': '1619978', 'on_hold': '5304', 'dropped': '2555', 'plan_to_watch': '237236'}, 'num_list_users': 1903679}",2
37987,Violet Evergarden Movie,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1825/110716.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1825/110716l.jpg'}",2020-09-18,2020-09-18,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.

Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.

[Written by MAL Rewrite]",8.96,15,437,404739,150030,white,2018-07-21T02:48:46+00:00,2022-03-22T13:26:17+00:00,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 36, 'name': 'Slice of Life'}]",1,"{'year': 2020, 'season': 'summer'}",light_novel,8400,pg_13,,"[{'id': 2, 'name': 'Kyoto Animation'}]","{'status': {'watching': '11060', 'completed': '191285', 'on_hold': '3538', 'dropped': '875', 'plan_to_watch': '201678'}, 'num_list_users': 408436}",3
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/10/51723.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/10/51723l.jpg'}",2013-07-06,2013-07-06,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]",8.93,18,931,205101,116072,white,2012-08-26T22:06:53+00:00,2022-03-22T07:23:28+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,"{'year': 2013, 'season': 'summer'}",manga,6600,pg_13,,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '4465', 'completed': '146759', 'on_hold': '1512', 'dropped': '1419', 'plan_to_watch': '51071'}, 'num_list_users': 205226}",4
32281,Kimi no Na wa.,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/5/87048.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/5/87048l.jpg'}",2016-08-26,2016-08-26,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",8.87,23,11,2283898,1583131,white,2015-12-10T09:41:12+00:00,2022-03-22T13:15:16+00:00,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2016, 'season': 'summer'}",original,6391,pg_13,Kimi no Na wa. won the LAFCA Animation Award in 2016 and the Best Animated Film in 2017 by Mainichi Film Awards. It also won the Grand Prize Award on the 20th Japan Media Arts Festival.,"[{'id': 291, 'name': 'CoMix Wave Films'}]","{'status': {'watching': '50433', 'completed': '1969360', 'on_hold': '5986', 'dropped': '3240', 'plan_to_watch': '263766'}, 'num_list_users': 2292785}",5
31758,Kizumonogatari III: Reiketsu-hen,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1084/112813.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1084/112813l.jpg'}",2017-01-06,2017-01-06,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. 

Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.

But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?

Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…

[Written by MAL Rewrite]",8.81,27,456,390720,224282,white,2015-10-03T17:22:50+00:00,2022-03-22T13:21:19+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,"{'year': 2017, 'season': 'winter'}",light_novel,4980,r,,"[{'id': 44, 'name': 'Shaft'}]","{'status': {'watching': '8624', 'completed': '283910', 'on_hold': '2452', 'dropped': '1183', 'plan_to_watch': '96081'}, 'num_list_users': 392250}",6
199,Sen to Chihiro no Kamikakushi,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/6/79597.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/6/79597l.jpg'}",2001-07-20,2001-07-20,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]",8.79,32,43,1566400,1096313,white,2005-11-12T07:05:54+00:00,2022-03-22T13:12:45+00:00,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2001, 'season': 'summer'}",original,7475,pg,"Sen to Chihiro no Kamikakushi was the highest grossing film in Japanese history, with a total of ￥30.4 billion from Japanese box office sales alone. It is also the most successful film to debut from Japan, with a total of $289 million worldwide. This critically acclaimed film has won numerous awards, including the Academy Award, more commonly known as ""Oscar"", for Best Animated Feature at the 75th Academy Awards in 2003, as well as the Golden Bear at the 2002 Berlin International Film Festival (alongside Bloody Sunday). It is also among the top ten in the British Film Institute's list of the ""50 films you should see by the age of 14"". The English version of Sen to Chihiro no Kamikakushi was dubbed by Walt Disney Pictures and premiered in 2002. The film was released on DVD and VHS formats in North America by Buena Vista Home Entertainment in 2003.
","[{'id': 21, 'name': 'Studio Ghibli'}]","{'status': {'watching': '19198', 'completed': '1416458', 'on_hold': '3925', 'dropped': '1773', 'plan_to_watch': '128370'}, 'num_list_users': 1569724}",7
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1142/112957.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1142/112957l.jpg'}",2020-08-15,2020-08-15,"The Fifth Holy Grail War in Fuyuki City has reached a turning point in which the lives of all participants are threatened as the hidden enemy finally reveals itself. As Shirou Emiya, Rin Toosaka, and Illyasviel von Einzbern discover the true, corruptive nature of the shadow that has been rampaging throughout the city, they realize just how dire the situation is. In order to protect their beloved ones, the group must hold their own against the seemingly insurmountable enemy force—even if some of those foes were once their allies, or perhaps, something more intimate.

As the final act of this chaotic war commences, the ideals Shirou believes will soon be challenged by an excruciating dilemma: is it really possible to save a world where everything seems to have gone wrong?

[Written by MAL Rewrite]",8.72,42,743,257693,124969,white,2016-03-27T07:00:57+00:00,2022-03-22T10:32:03+00:00,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2020, 'season': 'summer'}",visual_novel,7320,r,"Fate/stay night Movie: Heaven's Feel - III. Spring Song was ranked the ninth highest grossing Japanese film of 2020 for the Japanese box office, generating 1.95 billion yen (aprox. $19,252,497 million) during its box office run. The opening weekend grossed 474 million yen, debuting at No. 1 at the Japanese box office.","[{'id': 43, 'name': 'ufotable'}]","{'status': {'watching': '6046', 'completed': '154120', 'on_hold': '1673', 'dropped': '654', 'plan_to_watch': '97264'}, 'num_list_users': 259757}",8
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1704/106947.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1704/106947l.jpg'}",2020-10-16,2020-10-16,"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.

Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. Kimetsu no Yaiba Movie: Mugen Ressha-hen delves into the deepest corners of Tanjirou's mind, putting his resolve and commitment to duty to the test.

[Written by MAL Rewrite]",8.68,51,101,1064053,672161,white,2019-09-28T17:30:35+00:00,2022-03-22T13:20:53+00:00,movie,finished_airing,"[{'id': 6, 'name': 'Demons'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",1,"{'year': 2020, 'season': 'fall'}",manga,7008,r,"As of January 31, 2021, Kimetsu no Yaiba Movie: Mugen Ressha-hen is Japan's highest grossing film of all time, with a box office revenue of 36.8 billion yen (458.8 million USD). This beats the previous record holder, Sen to Chihiro no Kamikakushi, which amassed a box office revenue of 31.68 billion yen (394.8 million USD).
","[{'id': 43, 'name': 'ufotable'}]","{'status': {'watching': '19336', 'completed': '847523', 'on_hold': '3164', 'dropped': '1191', 'plan_to_watch': '198681'}, 'num_list_users': 1069895}",9
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"{'medium': 'https://api-cdn.myanimelist.net/images/anime/1502/110723.jpg', 'large': 'https://api-cdn.myanimelist.net/images/anime/1502/110723l.jpg'}",2020-01-17,2020-01-17,"Continuing their perilous descent down the Abyss, Riko, Regu, and newfound friend Nanachi reach the Abyss' fifth layer, The Sea of Corpses. Upon arriving at the research station known as Idofront, the main trio encounter the mysterious Prushka, the alleged daughter of Bondrewd, who leads them to the White Whistle responsible for Nanachi's dark past. Despite the welcoming appearances of Idofront's residents, Nanachi warns the young adventurers that things are not always what they seem. With the only route to the sixth layer shrouded in mystery and Bonedrewd's schemes awaiting them, what sacrifices must be made in order to continue the journey down to the bottom of the Abyss?

[Written by MAL Rewrite]",8.68,53,595,309359,136970,white,2017-11-26T07:38:22+00:00,2022-03-22T12:25:49+00:00,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}]",1,"{'year': 2020, 'season': 'winter'}",web_manga,6300,r,"The film was originally released on January 17, 2020 by Kadokawa in Japanese theaters, followed by an American release by Sentai Filmworks on August 14, 2020.","[{'id': 290, 'name': 'Kinema Citrus'}]","{'status': {'watching': '5862', 'completed': '170242', 'on_hold': '1703', 'dropped': '530', 'plan_to_watch': '132580'}, 'num_list_users': 310917}",10
