id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres,num_episodes,source,average_episode_duration,rating,studios,movie_ranking,broadcast_day_of_the_week,broadcast_start_time,start_season_year,start_season_season,statistics_watching,statistics_completed,statistics_on_hold,statistics_dropped,statistics_plan_to_watch,statistics_num_list_users,positive_viewership_fraction,negative_viewership_fraction
39486,Gintama: The Final,2021-01-08,2021-01-08,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.

[Written by MAL Rewrite]
",9.05,7,1780,92989,40122,white,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,manga,6240,pg_13,"[{'id': 1258, 'name': 'Bandai Namco Pictures'}]",1,,,2021.0,winter,4654.0,46274.0,1056.0,807.0,41284.0,94075.0,0.9802,0.0198
28851,Koe no Katachi,2016-09-17,2016-09-17,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.
 
[Written by MAL Rewrite]",8.96,14,19,1903702,1315469,white,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",1,manga,7803,pg_13,"[{'id': 2, 'name': 'Kyoto Animation'}]",2,,,2016.0,summer,38606.0,1619978.0,5304.0,2555.0,237236.0,1903679.0,0.9959,0.0041
37987,Violet Evergarden Movie,2020-09-18,2020-09-18,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.

Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.

[Written by MAL Rewrite]",8.96,15,437,404739,150030,white,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 36, 'name': 'Slice of Life'}]",1,light_novel,8400,pg_13,"[{'id': 2, 'name': 'Kyoto Animation'}]",3,,,2020.0,summer,11060.0,191285.0,3538.0,875.0,201678.0,408436.0,0.9892,0.0108
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,2013-07-06,2013-07-06,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]",8.93,18,931,205101,116072,white,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 13, 'name': 'Historical'}, {'id': 20, 'name': 'Parody'}, {'id': 21, 'name': 'Samurai'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 27, 'name': 'Shounen'}]",1,manga,6600,pg_13,"[{'id': 14, 'name': 'Sunrise'}]",4,,,2013.0,summer,4465.0,146759.0,1512.0,1419.0,51071.0,205226.0,0.9857,0.0143
32281,Kimi no Na wa.,2016-08-26,2016-08-26,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]",8.87,23,11,2283898,1583131,white,movie,finished_airing,"[{'id': 8, 'name': 'Drama'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 37, 'name': 'Supernatural'}]",1,original,6391,pg_13,"[{'id': 291, 'name': 'CoMix Wave Films'}]",5,,,2016.0,summer,50433.0,1969360.0,5986.0,3240.0,263766.0,2292785.0,0.996,0.004
31758,Kizumonogatari III: Reiketsu-hen,2017-01-06,2017-01-06,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power. 

Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.

But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?

Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…

[Written by MAL Rewrite]",8.81,27,456,390720,224282,white,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",1,light_novel,4980,r,"[{'id': 44, 'name': 'Shaft'}]",6,,,2017.0,winter,8624.0,283910.0,2452.0,1183.0,96081.0,392250.0,0.9907,0.0093
199,Sen to Chihiro no Kamikakushi,2001-07-20,2001-07-20,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.

Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.

[Written by MAL Rewrite]",8.79,32,43,1566400,1096313,white,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 37, 'name': 'Supernatural'}]",1,original,7475,pg,"[{'id': 21, 'name': 'Studio Ghibli'}]",7,,,2001.0,summer,19198.0,1416458.0,3925.0,1773.0,128370.0,1569724.0,0.9964,0.0036
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,2020-08-15,2020-08-15,"The Fifth Holy Grail War in Fuyuki City has reached a turning point in which the lives of all participants are threatened as the hidden enemy finally reveals itself. As Shirou Emiya, Rin Toosaka, and Illyasviel von Einzbern discover the true, corruptive nature of the shadow that has been rampaging throughout the city, they realize just how dire the situation is. In order to protect their beloved ones, the group must hold their own against the seemingly insurmountable enemy force—even if some of those foes were once their allies, or perhaps, something more intimate.

As the final act of this chaotic war commences, the ideals Shirou believes will soon be challenged by an excruciating dilemma: is it really possible to save a world where everything seems to have gone wrong?

[Written by MAL Rewrite]",8.72,42,743,257693,124969,white,movie,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",1,visual_novel,7320,r,"[{'id': 43, 'name': 'ufotable'}]",8,,,2020.0,summer,6046.0,154120.0,1673.0,654.0,97264.0,259757.0,0.991,0.009
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,2020-10-16,2020-10-16,"After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.

Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. Kimetsu no Yaiba Movie: Mugen Ressha-hen delves into the deepest corners of Tanjirou's mind, putting his resolve and commitment to duty to the test.

[Written by MAL Rewrite]",8.68,51,101,1064053,672161,white,movie,finished_airing,"[{'id': 6, 'name': 'Demons'}, {'id': 13, 'name': 'Historical'}, {'id': 27, 'name': 'Shounen'}, {'id': 37, 'name': 'Supernatural'}]",1,manga,7008,r,"[{'id': 43, 'name': 'ufotable'}]",9,,,2020.0,fall,19336.0,847523.0,3164.0,1191.0,198681.0,1069895.0,0.9959,0.0041
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,2020-01-17,2020-01-17,"Continuing their perilous descent down the Abyss, Riko, Regu, and newfound friend Nanachi reach the Abyss' fifth layer, The Sea of Corpses. Upon arriving at the research station known as Idofront, the main trio encounter the mysterious Prushka, the alleged daughter of Bondrewd, who leads them to the White Whistle responsible for Nanachi's dark past. Despite the welcoming appearances of Idofront's residents, Nanachi warns the young adventurers that things are not always what they seem. With the only route to the sixth layer shrouded in mystery and Bonedrewd's schemes awaiting them, what sacrifices must be made in order to continue the journey down to the bottom of the Abyss?

[Written by MAL Rewrite]",8.68,53,595,309359,136970,white,movie,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}]",1,web_manga,6300,r,"[{'id': 290, 'name': 'Kinema Citrus'}]",10,,,2020.0,winter,5862.0,170242.0,1703.0,530.0,132580.0,310917.0,0.9928,0.0072
